"","season","episode","titles","ep_desc"
"144",8,11,"Max Jets","
    Roger's filthy-rich persona is released from prison, but the Smiths become angry when he decides to leave his money to a gold-digger instead of them.    "
"145",8,12,"Naked to the Limit, One More Time","
    Roger reveals his true identity to Jeff, and then tells him he is his imaginary friend to keep the secret. Meanwhile, Steve takes steps to improve the shape of his rear end.    "
"146",8,13,"For Black Eyes Only","
    Secret agent Stan Smtih is assigned another high-stakes mission against Tearjerker and Black Villain.    "
"147",8,14,"Spelling Bee My Baby","
    Francine tries to ensure that Steve beats Toshi's sister Akiko in a spelling bee while Roger and Stan try to help Hayley go through the stages of grief over Jeff's departure.    "
"148",8,15,"The Missing Kink","
    Stan discovers his own kinks after discovering that Francine is aroused by spankings, while Snot shockingly gets a date with Hayley.    "
"149",8,16,"The Boring Identity","
    Francine turns Stan into the perfect husband.    "
"150",8,17,"The Full Cognitive Redaction of Avery Bullock by the Coward Stan Smith","
    Stan becomes Agent Bullock's new protege.    "
"151",8,18,"Lost in Space","
    Jeff finds himself surrounded by aliens on a ship traveling in space.    "
"152",8,19,"Da Flippity Flop","
    Klaus's human body is found, but Stan's lab ruins the body before Klaus can reclaim it. So Klaus gets revenge on Stan by switching bodies with him.    "
"153",9,1,"Steve and Snot's Test-Tubular Adventure","
    Steve and Snot create two clones so that they can have a date to a school dance, but things do not go as planned.    "
"154",9,2,"Poltergasm","
    A poltergeist visits the Smith family.    "
"155",9,3,"Buck, Wild","
    Steve is eager to prove that he's no longer a little boy, so he sets off to prove his manhood by joining Stan, Bullock, and the rest of the CIA on their annual hunting trip. Meanwhile, Roger and Klaus set off on a cross-country road trip.    "
"156",9,4,"Crotchwalkers","
    In a desperate attempt to show Steve that she's still a ""cool"" mom, Francine teaches him a vast array of shoplifting techniques to try out at the local mall. But when their attempt to pull off the ultimate heist at ""The Gash"" goes awry, Steve is captured and sent to a Venezuelan sweatshop. Meanwhile, Roger, Hayley and Klaus form Langley Falls' first Russian Balalaika trio.    "
"157",9,5,"Kung Pao Turkey","
    Stan feels like he's being run out of his own home when Francine's parents come to visit at Thanksgiving, and Francine's mother tries to setup Haley with an eligible Chinese bachelor.    "
"158",9,6,"Independent Movie","
    Steve fancies himself and the guys as stars of an independent ""coming of age"" movie as they join Snot on a cross-country trip to his dad's funeral.    "
"159",9,7,"Faking Bad","
    Hayley uses Steve's talent for creating fake IDs to start a business, but they're forced to deal with another fake ID kingpin in Langley Falls: Roger.    "
"160",9,8,"Minstrel Krampus","
    Stan and Roger travel to the North Pole to rescue Steve from an infamous Christmas demon.    "
"161",9,9,"Vision: Impossible","
    When Roger wakes up from a coma after a car accident, he has the ability to see into the future.    "
"162",9,10,"Familyland","
    The Smiths take a family vacation to a medieval-style theme park where they're taken prisoner when the frozen head of the park is accidentally thawed.    "
"163",9,11,"Cock of the Sleepwalk","
    After killing his 100th victim, Stan develops a persona that does nice things, which the real Stan would never do.    "
"164",9,12,"Introducing the Naughty Stewardesses","
    Roger switches faces with Steve to help him win over the hot girl at school, while Stan and Francine become stewardesses to stop Mark Cuban from blowing up the sun.    "
"165",9,13,"I Ain't No Holodeck Boy","
    Stan drugs Steve and his friends and puts them in the CIA holodeck just to give them the outdoor experience, while Hayley makes herself Roger's queen after buying his home star on the International Star Registry.    "
"166",9,14,"Stan Goes on the Pill","
    A new CIA drug designed to help Stan pretend to listen to Francine has a disastrous side effect, and Roger and Klaus take advantage of the situation to start their new business.    "
"167",9,15,"Honey, I'm Homeland","
    Hayley suspects that Stan has been ""turned"" when he comes home after being kidnapped by a group of radicals while on a mission to infiltrate the ""Occupy"" movement.    "
"168",9,16,"She Swill Survive","
    Stan turns Hayley into a helpless drunk in an effort to help him reach Bullock's inner circle, and Klaus shares German folk tales with Steve and Snot.    "
"169",9,17,"Rubberneckers","
    Stan gets into an accident upon discovering his talent for checking out women, while Roger and Klaus try to hide a wine stain on the new couch.    "
"170",9,18,"Permanent Record Wrecker","
    Stan is fired from the CIA due to budget cuts and is forced to work at a grocery store where Steve is the manager, while Roger makes a bargain to win a bet with a coffee shop musician.    "
"171",9,19,"News Glances with Genevieve Vavance","
    Hayley stages Steve's kidnapping in order to gain favor from Roger's new persona--a television news anchor named Genevieve Vavance.    "
"172",9,20,"The Longest Distance Relationship","
    Just as Haley finally gets over Jeff and considers dating a millionaire, Jeff contacts her from space via C.B. radio.    "
"173",9,21,"Roger Passes the Bar","
    A sexy new next-door neighbor promises to take Steve and his friends' virginity in return for housework.    "
"174",9,22,"A Boy Named Michael","
    Greg and Terry choose to adopt a Russian child but after Roger sees the kind of life they are living over there, he gets rid of the real kid and takes the place himself.    "
"175",9,23,"Blagsnarst, a Love Story","
    Roger and Francine stumble upon another alien in the woods and Roger tries to romance her, but he soon becomes annoyed with her behavior and wants to call the CIA to have them take her away, but then he has a change of heart and decides not to.    "
"176",10,1,"Blonde Ambition","
    Hayley dyes her hair blonde so that people will listen to her when she talks about charities. Stan and Steve look for a new house.    "
"177",10,2,"CIAPOW","
    Stan and his fellow CIA agents are in danger of losing their jobs to advancing technology. They plan a dangerous heist to prove that humans are smarter than machines.    "
"178",10,3,"Scents and Sensei-bility","
    Steve and Snot's friendship is put to the test when Snot joins a karate class, and the rest of the Smith family makes Klaus an ""outside fish.""    "
"179",10,4,"Big Stan on Campus","
    On furlough from work, Stan takes a temporary job as a security guard for a community college. Meanwhile, Roger tries to earn extra money for the family by turning the house into an inn.    "
"180",10,5,"Now and Gwen","
    Francine's trouble-making sister, Gwen, comes to live with the family and her arrival dredges up a long-buried secret from Francine's past.    "
"181",10,6,"Dreaming of a White Porsche Christmas","
    Stan grows tired of his daily responsibilities and makes a Christmas wish to swap lives with the free-spirited Principal Lewis.    "
"182",10,7,"LGBSteve","
    Haley and Steve join an all girl Rollerblading team, while Stan and Francine get a visit from an all knowing gardener.    "
"183",10,8,"Morning Mimosa","
    Steve seeks his independence from Francine by becoming an online video cooking sensation.    "
"184",10,9,"My Affair Lady","
    Hayley considers having an affair with a married man, but what about Jeff?    "
"185",10,10,"A Star Is Reborn","
    Stan and Francine travel to Hollywood for vacation. An aging movie star believes Stan is the reincarnation of a Hollywood legend and uses him to make one last film.    "
"186",10,11,"Manhattan Magical Murder Mystery Tour","
    Francine becomes a successful self-published mystery novelist and the family travels to New York to attend a convention.    "
"187",10,12,"The Shrink","
    Stan is traumatized by a random act of violence and seeks to establish a sense of control by creating a miniature version of Langley Falls.    "
"188",10,13,"Holy Shit, Jeff's Back","
    Jeff has escaped from space, or has he?    "
"189",10,14,"American Fung","
    A Chinese billionaire purchases the ""American Dad!"" TV show and remakes it as he sees fit.    "
"190",10,15,"Seizures Suit Stanny","
    Stan suffers the drastic side effects of taking a seizure medication.    "
"191",11,1,"Roots","
    Stan opposes the building of a new arena football stadium because his ""tree father"" will be cut down. Klaus recommends a specialist for Steve to help him become taller.    "
"192",11,2,"The Life Aquatic with Steve Smith","
    With the help of Klaus, Steve becomes the star of the high school water polo team. But when Steve takes all the credit for his greatness to impress a girl, Klaus vows revenge.    "
"193",11,3,"Hayley Smith, Seal Team Six","
    Roger uses hypnosis to send Hayley back to six-year-old ""Happy Haley,"" but Jeff and Klaus want the old Haley back. Steve and his friends get a slow cooker to cook some pork.    "
"194",11,4,"N.S.A. (No Snoops Allowed)","
    After Stan embarrasses Steve at work, Steve decides to sell him out to his rivals at the NSA. Roger convinces Hayley to go on a 24-hour meat-eating binge.    "
"195",11,5,"Stan Smith Is Keanu Reeves as Stanny Utah in Point Break","
    Home issues cause Stan to stress out, so he decides to take a job investigating a group of surfers to get away from everything.    "
"196",11,6,"Kiss Kiss Cam Cam","
    An embarrassing moment on the Kiss Cam causes Stan to realize that he and Francine have nothing in common. Roger revives a Nevada politician persona to take down a company polluting the water supply.    "
"197",11,7,"The Devil Wears a Lapel Pin","
    Haley tries to get revenge on Stan for a childhood drawing he destroyed while Roger goes all out to get a jacket with reward points.    "
"198",11,8,"Stan-Dan Deliver","
    Roger becomes a teacher for inner city kids while Stan and Francine figure out their retirement plans.    "
"199",11,9,"Anchorfran","
    Francine helps Greg out with the news and becomes a news anchor. In the meantime Roger, Haley and Steve set out to find a boy pictured in a 1990's board game.    "
"200",11,10,"The Two Hundred","
    Stan journeys through a post apocalyptic world in search for his family.    "
"201",11,11,"The Unincludeds","
    Steve and Snot alter their futures and throw a party for the uncool kids, meanwhile Roger is disgruntled when a waitress doesn't compliment his order.    "
"202",11,12,"The Dentist's Wife","
    Roger loses his identity after becoming fascinated by a local dentist'?s wife. Meanwhile, Klaus throws a party when Stan and the kids are unable to move from being sore after working out.    "
"203",11,13,"Widow's Pique","
    Francine comes to reality with her future fate as a widow considering Stan's dangerous job. Steve and the boys pretend to be professional wrestlers, until principal Lewis ruins their fun.    "
"204",11,14,"The Nova Centauris-burgh Board of Tourism Presents: American Dad","
    Steve's live-action role-playing fun with his friends is spoiled when Francine decides to play along. Stan and Roger decide to create a theme park in their home after Stan brings home a pet shark.    "
"205",11,15,"Daesong Heavy Industries","
    Stan loses his faith in religion after Steve questions everything in the Bible. He takes the family to Korea to investigate the rumors of a reinvented Noah'?s Ark.    "
"206",11,16,"Daesong Heavy Industries II: Return to Innocence","
    Stan takes the family to church and Steve questions everything. Stan decides to help Steve develop some faith, but the plan backfires when Steve points out logical flaws with faith and religion. Stan spirals into a deep depression where he attempts to find pleasure and meaning in life, but finds none. When Stan almost drowns in a pool he has a vision of God. Stan believes that he is the new Noah and that he must get his family to an ark in order to survive the flood.    "
"207",11,17,"Criss-Cross Applesauce: The Ballad of Billy Jesusworth","
    Steve narrates his day, in the style of ""Trapped in the Closet"" by R. Kelly; Roger's basketball playing persona, ""Billy Jesusworth"" and Stan play against each other in a basketball tournament.    "
"208",11,18,"Mine Struggle","
    Stan discovers a salt mine in the backyard, but Steve turns out to be the rightful owner of the land, and faces pressure from the family to sell out.    "
"209",11,19,"Garfield and Friends","
    Stan tries to get Hayley to learn something about history. Meanwhile, Steve becomes an author for the school newspaper.    "
"210",11,20,"Gifted Me Liberty","
    Stan tries to crack down on whoever did not bring a present to the C.I.A. Christmas party; Steve poses as a boyfriend for several female classmates.    "
"211",11,21,"Next of Pin","
    Stan and Steve enter a father son bowling tournament, while Roger and Hailey try to prove who has the better attention span.    "
"212",11,22,"Standard Deviation","
    Stan is afraid that Hayley is drifting aimlessly through life, so he tries to teach her the value of a good plan. Stan takes Hayley on a CIA mission, but the mission backfires when Bullock fails to develop a good plan. Hayley discovers that Bullock is sleep-deprived which is leading him to plan dangerous missions. In order to save Stan, Hayley must teach him how to improvise. Meanwhile, Jeff tries to recreate a musical instrument he saw in a dream.    "
"213",12,1,"Father's Daze","
    Stan keeps erasing his family's memories, forcing them to redo Father's Day until they get it right.    "
"214",12,2,"Fight and Flight","
    Stan helps Steve to go above and beyond on his history project, fearing Steve may be losing his smarts. Meanwhile, Klaus longs for a human body again someday.    "
"215",12,3,"The Enlightenment of Ragi-Baba","
    Stan and Steve become sushi chefs while Haley tries to help Roger seek peace through meditation.    "
"216",12,4,"Portrait of Francine's Genitals","
    Stan becomes outraged when a painting of Francine's genitalia is placed in a museum.    "
"217",12,5,"Bahama Mama","
    Stan gets upset at the idea of becoming a grandfather after Haley and Jeff are trying to have a baby, Steve and Klaus join a drug gang.    "
"218",12,6,"Roger's Baby","
    Roger agrees to give birth to Jeff so he can be human again; Steve secretly signs Snot up for a makeover.    "
"219",12,7,"Ninety North, Zero West","
    The Smiths rescue Steve after he's kidnapped and taken to the North Pole, where Santa Claus is using children to mine for precious stones needed for an ancient ritual.    "
"220",12,8,"A Whole Slotta Love","
    When Francine finds out that Stan is involved with slot car racing, she becomes less attracted to him. Meanwhile Roger becomes a stewardess and performs comedy routines on planes and gets mad when people find the other stewardess funnier.    "
"221",12,9,"The Witches of Langley","
    Steve and his friends take up witchcraft to gain popularity at school, meanwhile Stan and Klaus become interested in old '90s music.    "
"222",12,10,"A Nice Night for a Drive","
    Klaus gets transferred into the navigation system of Stan's car after Stan refuses to pay for a life-saving surgery. Steve and his friends prank Roger's Frank character and he terrorizes them for revenge.    "
"223",12,11,"Casino Normale","
    Francine steals from the CIA and pretends to be a sexy supervillain to incite Stan to be more seductive. Roger tricks Hayley and Steve into trapping Jay Leno so he can take revenge on him.    "
"224",12,12,"Bazooka Steve","
    Steve becomes the most hated person in town after he convinces the star quarterback player of the Bazooka Sharks to quit. Meanwhile Haley is forced to become a cab driver to pay Roger's gambling debt.    "
"225",12,13,"Camp Campawanda","
    Steve and Snot go to summer camp, but each wants something different out of the experience. Meanwhile, Roger organizes a ""Burning Man"" in the Smith's backyard for the anniversary of Hayley and Jeff. Stan and Francine get caught up in the celebration.    "
"226",12,14,"Julia Rogerts","
    Roger runs off in disguise as a Julia Roberts character to a small town after Stan hurts his feelings. Steve plans a meeting when he finds out that Jeff and Barry have never met.    "
"227",12,15,"The Life and Times of Stan Smith","
    The family gathers to hear the results of Stan's annual physical. The doctor reveals that Stan is not taking care of himself and orders him to live a healthier life. Stan is stubborn, so Roger and Francine conspire to scare Stan with a near death experience. Stan becomes addicted to the near death experience when he watches his life flash before his eyes. Meanwhile, Klaus takes Steve on a tour of a university.    "
"228",12,16,"The Bitchin' Race","
    The Smith family is participating in televised race that takes them all over the globe. Stan and Hayley are frustrated that their teammates don't take the race seriously. Steve and Francine try to turn the race into a vacation, while Roger abandons the race to enjoy karaoke. Stan and Hayley abandon their teams and attempt to complete the race on their own. Meanwhile, Klaus watches the race as it unfolds on television.    "
"229",12,17,"Family Plan","
    Francine dreams of having a larger family and wonders if being adopted has affected her view of families. Hayley encourages Francine to track down her birth parents. Francine finds her family and attends a family reunion. At the union, the family patron decides to whittle his large family down by trapping them on the property and forcing them to fight each other. Meanwhile, Stan becomes obsessed with the TV show ""American Pickers"".    "
"230",12,18,"The Long Bomb","
    Despite poor communication between the two, can Stan and Hayley team up to foil a terrorist plot at the Bazooka Sharks game?    "
"231",12,19,"Kloger","
    Roger is lonely and unhappy as he thinks everyone but him has a stable relationship. Roger tries online dating and ends up on a date with Klaus, who is also looking for love. Klaus and Roger begin a passionate and secret affair, but Roger wants a more serious commitment. Meanwhile, Steve tries to get out of taking the Presidential Fitness Test.    "
"232",12,20,"Garbage Stan","
    The Smith family receives a notice that Grandpa Jack's storage unit is being auctioned away. Stan forbids the family from visiting the storage unit but Steve wants to learn more about Grandpa. Steve discovers a garbage truck in the unit and brings it to Stan. Stan has a few good memories of the truck so he and Steve start running the old garbage route. Steve learns that the truck was part of a drug running business but hides this from Stan. Meanwhile, Roger takes Hayley on the competitive bumper pool circuit.    "
"233",12,21,"The Talented Mr. Dingleberry","
    Roger becomes a marionette and injures other students to help Steve win the school talent show.    "
"234",12,22,"West to Mexico","
    Stan, a wanted man on the run, finds himself in an Arizona town terrorized by Bullock and his clan.    "
"235",13,1,"Santa, Schmanta","
    Roger converts to Judaism and tries to make Hanukkah more popular than Christmas.    "
"236",13,2,"Paranoid Frandroid","
    Roger leads Francine into the twisted world of conspiracy theories; Steve and Klaus help Snot's family move into a new apartment.    "
"237",13,3,"The Census of the Lambs","
    Stan and Hayley compete in collecting data for the US Census; Klaus has Steve and his friends model for his new camera.    "
"238",13,4,"Shell Game","
    Steve tries to stop Roger after he joins a mysterious order of birds' egg thieves; Francine buys a new Italian sauce.    "
"239",13,5,"The Mural of the Story","
    Stan discovers that the Langley Falls historical mural has been ruined by graffiti, and convinces the town to allow him to restore it himself.    "
"240",13,6,"(You Gotta) Strike for Your Right","
    Hayley organises a strike in the C.I.A; The family watch Breaking Bad in reverse, and discover the show is hiding a scavenger hunt.    "
"241",13,7,"Klaustastrophe.tv","
    Stan begins to experience crippling separation anxiety; Klaus builds a website and forces the family to participate.    "
"242",13,8,"Death by Dinner Party","
    Francine hosts a dinner party, even though a serial killer who attacks dinner parties is terrorising the town.    "
"243",13,9,"The Never-Ending Stories","
    Stan finds the CIA Academy cadets the perfect captive audience for his boring stories; Klaus becomes the hype-man for a famous rapper.    "
"244",13,10,"Railroaded","
    Frustrated with traffic, Stan proposes the town builds a bullet train; Roger pushes Stan to run for Mayor.    "
"245",13,11,"My Purity Ball and Chain","
    When Steve starts acting out his sexual energy, Francine asks Stan to give him the talk, but he makes Steve join a creepy father-daughter celibacy club with him instead. Also, the family builds a water slide in the backyard.    "
"246",13,12,"OreTron Trail","
    Traumatized by The Oregon Trail (1971), Roger becomes concerned about outliving the family, so he fakes his death, spoofs Renegade (1992) and traps the family in the game. Klaus opens a convenience store but becomes paranoid about shoplifters.    "
"247",13,13,"Mean Francine","
    Francine falls in with a group of tough girls after becoming the new school guidance counselor.    "
"248",13,14,"One-Woman Swole","
    Francine becomes a bodybuilder; Klaus claims to have invented the high five.    "
"249",13,15,"Flavortown","
    While trying to find himself, Jeff befriends and eventually becomes possessed by Stan's favorite celebrity chef, Guy Fieri; Klaus and Roger start their own valet business to pick up rich chicks.    "
"250",13,16,"Persona Assistant","
    When a tumor takes Roger out of commission, Stan must take over his different personas; Principal Lewis pressures Steve and the school choir to win by any means necessary.    "
"251",13,17,"The Legend of Old Ulysses","
    Steve gets competitive and turns on his best friend during the father-son events at Possum Lake, the home of the legendary fish-monster called Old Ulysses. Roger pretends to be the local tour guide and becomes more infamous than the fish.    "
"252",13,18,"Twinanigans","
    Steve and Roger restart their career as a twin brother acting duo. The family becomes addicted to a novelty gift shop.    "
"253",13,19,"Top of the Steve","
    After a fight with his dad, Steve goes to an all-girls boarding school. Roger realizes that Steve has become stuck in his own zany spinoff sitcom. Meanwhile, Stan is annoyed by Steve's British replacement.    "
"254",13,20,"Funnyish Games","
    Francine gets obsessed with home security following a break-in; Steve tries Hayley's laid laidback approach to school work.    "
"255",13,21,"Fleabiscuit","
    Hayley feels left behind after Jeff becomes a star dog racing coach; Steve takes advantage of an empty house.    "
"256",13,22,"The Future Is Borax","
    Worried about their bickering, Stan and Francine go to extremes to save their marriage; Roger excels at jingle writing.    "
"257",14,1,"Fantasy Baseball","
    Steve tries to get into baseball to connect with Stan. Roger creates real life drama for Francine after her favorite soap opera is cancelled.    "
"258",14,2,"I Am the Jeans: The Gina Lavetti Story","
    Francine tries to be a better friend to one of Roger's personas; Stan and Steve swap eyebrows.    "
"259",14,3,"Stan & Francine & Connie & Ted","
    Steve regrets introducing his parents to Barry's; Roger goes blind.    "
"260",14,4,"Rabbit Ears","
    Stan gets obsessed with a mysterious 1960s television show after picking up a secondhand TV. Roger decides to live as a baby and the family cares for him.    "
"261",14,5,"Jeff and The Dank Ass Weed Factory","
    In this spoof of Willy Wonka & the Chocolate Factory (1971), Jeff wins a tour through a mysterious weed factory and brings Stan, who can't stand potheads, along.    "
"262",14,6,"Lost Boys","
    Roger breaks up Steve's friendship with Snot, Barry and Toshi. Jeff realizes he has a flair for house flipping and gets Stan, Francine and Hayley involved.    "
"263",14,7,"Shark?!","
    Stan has Roger pretend to be a shark to help Steve overcome his fears. Hayley's friend Danuta becomes romantically interested in Klaus.    "
"264",14,8,"The Long March","
    Hayley and Jeff become social media influencers; Francine and Steve are haunted by an Uber driver that they rated poorly.    "
"265",14,9,"The Hall Monitor and the Lunch Lady","
    Steve goes undercover as a school hall monitor; Roger and Stan go catatonic after witnessing a grisly escalator accident.    "
"266",14,10,"Wild Women Do","
    Jeff is forced to take Francine out for a not-so-wild night on the town. Klaus forces Steve to watch his celebrity impressions.    "
"267",14,11,"An Irish Goodbye","
    Francine helps Hayley take a break from their marriages. Stan and Jeff pretend to be frontiersmen.    "
"268",14,12,"Stompe le Monde","
    Stan buys the rights to Stomp: the Musical after inheriting money from a dead uncle.    "
"269",14,13,"Mom Sauce","
    Steve's life is turned upside down when Snot gets rich after his mom starts selling a new dipping sauce. Klaus, Stan, Roger and Jeff become mall fashion show models.    "
"270",14,14,"Hamerican Dad!","
    Stan reluctantly invites Roger into his ham club; Francine decides to scare Greg.    "
"271",14,15,"Demolition Daddy","
    Snot discovers his dead father was a demolition derby driver; Hayley teaches Steve how to drive.    "
"272",14,16,"Pride Before the Fail","
    Roger tries to force Hayley into graduating from community college so he can move into her room; Klaus repairs Francine's car.    "
"273",14,17,"Enter Stanman","
    Roger helps Stan enter Francine's dreams.    "
"274",14,18,"No Weddings and a Funeral","
    Klaus decides to leave the Smith family following one too many insults.    "
"275",14,19,"Eight Fires","
    Roger takes Francine to a remote island to make her a better cook; Stan suffers a strange injury.    "
"276",14,20,"The Hand that Rocks the Rogu","
    Steve babysits Roger's ex-tumor, Rogu, to prove to Francine that he's ready for the responsibility but fails to follow Roger's Gremlins-like rules for taking care of him.    "
"277",15,1,"100 Years a Solid Fool","
    Stan embarrasses himself while on a mission in Colombia.    "
"278",15,2,"Downtown","
    When Hayley's car breaks down, it's up to her to get Steve to his P-PSAT test while avoiding a mob of saleswoman who want to kill them, while Stan, Francine, and Roger explore the new downtown.    "
"279",15,3,"Cheek to Cheek: A Stripper's Story","
    Roger enlists Jeff as his protégé in order to open his dream chivalric strip club. Klaus moves into Steve's room.    "
"280",15,4,"A Starboy is Born","
    Stan abducts The Weeknd to teach Roger a lesson. His plan goes off-the-rails after Roger switches places with The Weeknd. Meanwhile Hayley tries to score with The Weeknd and learns a dark secret about the hip-hop superstar during her plight.    "
"281",15,5,"Tapped Out","
    While preparing to star in a school play about Oedipus, Steve is shocked to discover that Francine is secretly still feeding him breast milk, so she tricks him into thinking that he can't function without it. Chaos ensues.    "
"282",15,6,"Brave Noob World","
    Stan's CIA team must take out a North Korean general at the Overwatch (2016) world tournament with the help of Steve, who thinks they are on a bonding trip, or the world will end. The rest of the family gets trapped in the stairway.    "
"283",15,7,"Into the Woods","
    When Stan sees a middle-school classmate, he feels compelled to right an old wrong; Roger feels a cold coming on.    "
"284",15,8,"One Fish, Two Fish","
    Hayley takes extreme measures to help Klaus from being deported, while the rest of the family tries to open a coconut.    "
"285",15,9,"Exquisite Corpses","
    Roger, Francine and Jeff start their own murder tour-bus business to show the others that they are capable of making money on their own. Meanwhile, there is a serial killer loose in town.    "
"286",15,10,"Trophy Wife, Trophy Life","
    After Stan is injured, Francine nurses him back to health and he becomes dependent to her. Meanwhile, the family discovers that Tuttle is a Korean reality show star.    "
"287",15,11,"Game Night","
    Stan, who hates losing, drags the family to his boss' labyrinth inspired in its entirety by Labyrinth (1986) for family game night; Roger gets some geese to fatten them up and turn them into geese liver pate.    "
"288",15,12,"American Data?","
    Steve and the boys take part in Roger's version of the Stanford prison experiment to earn some cash. Meanwhile, Stan deals with the death of his CIA groundskeeper friend.    "
"289",15,13,"Salute Your Sllort","
    Steve's efforts to befriend a Swedish exchange student backfire in a big way. The family calls in an animal behaviorist to deal with Klaus.    "
"290",15,14,"Ghost Dad","
    Stan struggles to cope with the untimely death of his father. A simple canoeing trip does catastrophic damage to Hayley and Jeff's relationship.    "
"291",15,15,"Men II Boyz","
    Klaus enlists Stan, Roger and Jeff to join him on a wild bachelor party weekend.    "
"292",15,16,"First, Do No Farm","
    Concerned that Hayley is too soft-hearted, Stan attempts to make her farm tough by turning the house into an urban homestead.    "
"293",15,17,"Roger Needs Dick","
    When one of Roger's characters falls in love with Dick, it affects the whole family.    "
"294",15,18,"The Old Country","
    Steve pushes Stan to trace the Smith family's ancestry, while Hayley and Francine go under cover as Sub Hub secret shoppers.    "
"295",15,19,"Businessly Brunette","
    Hayley takes off her headband and becomes a businesswoman; Stan plans a party.    "
"296",15,20,"The Chilly Thrillies","
    Francine discovers that she enjoys Roger's ASMR voice, but Roger feels used when he finds out why she's been spending so much time with him and runs away to the still irradiated Chernobyl. An iron rod pierces Steve's skull.    "
"297",15,21,"Dammmm, Stan!","
    Stan goes to great lengths to find the right couple's activity for him and Francine. Hayley and Steve look into some mysterious markings they find on the door frame.    "
"298",15,22,"The Last Ride of the Dodge City Rambler","
    The Smiths take a trip to visit Francine's aunt on an old steam locomotive that gets hijacked.    "
"299",15,23,"300","
    Roger's past comes back to haunt him as American Dad becomes the 25th scripted primetime show in the history of television to reach 300 episodes.    "
"300",15,24,"Yule. Tide. Repeat.","
    After Stan's plan for the perfect Christmas goes terribly, tragically wrong, he's given a magical opportunity to make things right.    "
